label,step,H,B,D,delta_H,C1,C5,C10,H_attn,S,gpu_power_w,gpu_temp_c
fraudulent,0,4.199448585510254,66.64956936811217,,,0.20129640400409698,0.5033947229385376,0.5929056406021118,2.2271785996854305,109.55017399787903,289.839,41
fraudulent,1,1.629697322845459,5.1023301260280105,1.770749807357788,-2.569751262664795,0.8023059964179993,0.8439709544181824,0.8623301386833191,3.9218665659427643,84.2115273475647,289.839,41
fraudulent,2,3.969758987426758,52.97176244029066,4.327225685119629,2.340061664581299,0.24900436401367188,0.5061535835266113,0.6326194405555725,1.7532852422446012,117.90543937683105,289.839,41
fraudulent,3,0.875361442565918,2.399742506322955,12.45009994506836,-3.09439754486084,0.8879943490028381,0.9246681332588196,0.9379739761352539,1.4359741900116205,121.82025265693665,282.279,41
fraudulent,4,2.9156017303466797,18.459916953667435,6.419801712036133,2.0402402877807617,0.19142679870128632,0.7464309334754944,0.843246579170227,1.5191613361239433,118.50899887084961,282.279,41
fraudulent,5,7.19552772352472e-05,1.0000719578660784,1.6532262563705444,-2.9155297750694444,0.9999960660934448,0.9999979734420776,0.9999983906745911,1.3273868504911661,116.62904024124146,282.279,41
fraudulent,6,3.7943434715270996,44.44904476052571,14.690563201904297,3.7942715162498644,0.19551844894886017,0.5988097190856934,0.6866744160652161,1.9943623803555965,108.8846685886383,282.279,41
fraudulent,7,0.940322756767273,2.56080780300958,12.510329246520996,-2.8540207147598267,0.7532419562339783,0.959396481513977,0.9694179892539978,1.9095548205077648,116.79263734817505,282.279,41
fraudulent,8,2.100278377532959,8.16844350724579,5.1376872062683105,1.159955620765686,0.6568974256515503,0.7806690335273743,0.8452625274658203,2.004735190421343,110.36885190010071,278.998,43
fraudulent,9,1.6975977420806885,5.460813340261313,6.390668869018555,-0.4026806354522705,0.6495324969291687,0.8722810745239258,0.9093584418296814,2.148979563266039,109.44825720787048,278.998,43
fraudulent,10,0.8318045139312744,2.2974608019598866,9.03185749053955,-0.8657932281494141,0.8696391582489014,0.939541757106781,0.9629814624786377,2.0321576818823814,113.77962946891785,278.998,43
fraudulent,11,0.4665409326553345,1.5944692666074354,5.968617916107178,-0.36526358127593994,0.9284558892250061,0.9730851650238037,0.9832470417022705,2.059724271297455,113.75189876556396,278.998,43
fraudulent,12,0.12388286739587784,1.1318832827976497,5.53864049911499,-0.34265806525945663,0.9847316741943359,0.9943000078201294,0.9970846772193909,1.9928932152688503,110.52903628349304,278.998,43
fraudulent,13,0.11000573635101318,1.1162844738400777,10.325772285461426,-0.013877131044864655,0.987230122089386,0.9940802454948425,0.9962772727012634,2.0663541816174984,108.34018325805664,286.313,44
fraudulent,14,0.2264367938041687,1.254123338963366,9.48347282409668,0.11643105745315552,0.9652917385101318,0.9912499785423279,0.9967341423034668,2.073386162519455,109.11473894119263,286.313,44
fraudulent,15,0.009808272123336792,1.0098565308736327,16.853776931762695,-0.2166285216808319,0.9989688396453857,0.9998908638954163,0.9999185800552368,2.207660246640444,107.1996819972992,286.313,44
fraudulent,16,0.08169113099575043,1.0851205979453555,16.13894271850586,0.07188285887241364,0.9899017214775085,0.9972394704818726,0.9987454414367676,2.0230413377285004,105.98549509048462,286.313,44
fraudulent,17,0.09964004904031754,1.1047731823300493,7.95491361618042,0.017948918044567108,0.9860318899154663,0.9974216222763062,0.9986706376075745,2.095206305384636,105.14710807800293,286.313,44
