label,step,H,B,D,delta_H,C1,C5,C10,H_attn,S,gpu_power_w,gpu_temp_c
fraudulent,0,,,,,,,,,,216.042,38
fraudulent,1,,,,,,,,,,216.042,38
fraudulent,2,,,,,,,,,,224.51,38
fraudulent,3,,,,,,,,,,224.51,38
fraudulent,4,,,,,,,,,,224.51,38
fraudulent,5,,,,,,,,,,224.51,38
fraudulent,6,,,,,,,,,,224.51,38
fraudulent,7,,,,,,,,,,252.156,40
fraudulent,8,3.2745518684387207,26.43137809143569,,,0.6144065260887146,0.684096097946167,0.71693354845047,2.106295053447996,132.16576617104667,252.156,40
fraudulent,9,,,,,,,,,,252.156,40
fraudulent,10,,,,,,,,,,252.156,40
fraudulent,11,,,,,,,,,,275.914,41
fraudulent,12,,,,,,,,,,275.914,41
fraudulent,13,,,,,,,,,,275.914,41
fraudulent,14,4.45686149597168,86.21649321531184,,,0.38672536611557007,0.5660358667373657,0.6110379695892334,2.1492128670215607,122.329678944179,275.914,41
fraudulent,15,,,,,,,,,,275.914,41
fraudulent,16,,,,,,,,,,293.232,40
fraudulent,17,4.949934482574463,141.1657148042829,,,0.2926814556121826,0.5151296854019165,0.5589023232460022,2.1169565405164446,117.5353136062622,293.232,40
fraudulent,18,,,,,,,,,,293.232,40
fraudulent,19,,,,,,,,,,293.232,40
fraudulent,20,5.7080230712890625,301.2748802057348,,,0.2594827115535736,0.39506226778030396,0.44876986742019653,2.150918334722519,115.98030526297433,293.232,40
fraudulent,21,,,,,,,,,,315.327,41
fraudulent,22,,,,,,,,,,315.327,41
fraudulent,23,6.116440773010254,453.2486055219969,,,0.18003232777118683,0.35242095589637756,0.40855807065963745,2.1841703142438615,115.00889451163155,315.327,41
fraudulent,24,,,,,,,,,,315.327,41
fraudulent,25,,,,,,,,,,342.356,42
fraudulent,26,5.933952331542969,377.64414298981217,,,0.19153892993927002,0.3828529119491577,0.4376424551010132,2.215670032160623,114.06483050755092,342.356,42
fraudulent,27,4.475557804107666,87.84358625947822,0.15040960907936096,-1.4583945274353027,0.29385513067245483,0.590039849281311,0.6299967169761658,2.248298806803567,116.95265933445522,342.356,42
fraudulent,28,4.939325332641602,139.67598293783175,0.03416638448834419,0.46376752853393555,0.23211997747421265,0.5275399088859558,0.5705156922340393,2.3024391191346303,115.5547377722604,342.356,42
fraudulent,29,4.737668514251709,114.16771075044318,0.03549494966864586,-0.20165681838989258,0.2991889715194702,0.5523357391357422,0.596000075340271,2.347796844584601,117.23252609797886,342.356,42
fraudulent,30,4.886476993560791,132.48600186730056,0.2759262025356293,0.14880847930908203,0.34554556012153625,0.5177211761474609,0.5643723011016846,2.3339149355888367,118.1688152040754,342.356,42
fraudulent,31,,,,,,,,,,368.292,42
fraudulent,32,,,,,,,,,,368.292,42
fraudulent,33,4.749105453491211,115.48093524125623,,,0.370464950799942,0.5504882335662842,0.590896487236023,2.290417560509273,117.9436364855085,368.292,42
fraudulent,34,4.184224605560303,65.64258228496575,0.030193399637937546,-0.5648808479309082,0.42169004678726196,0.6214073896408081,0.6600643396377563,2.3262796103954315,120.51502895355225,368.292,42
fraudulent,35,4.844974517822266,127.10004316658089,0.03248171508312225,0.6607499122619629,0.3383418619632721,0.5374047756195068,0.5825178027153015,2.3593166513102397,119.29850578308105,368.292,42
fraudulent,36,4.171640872955322,64.82172911224346,0.05635406821966171,-0.6733336448669434,0.43011558055877686,0.6117345094680786,0.6600598692893982,2.348812235253198,119.72124140603202,390.201,43
fraudulent,37,5.321538925170898,204.69865563791265,0.617010772228241,1.1498980522155762,0.2779512107372284,0.4571290612220764,0.5126430988311768,2.392947018146515,121.31326389312744,390.201,43
fraudulent,38,,,,,,,,,,390.201,43
fraudulent,39,5.4705352783203125,237.5873340792489,,,0.1618109494447708,0.45475292205810547,0.5094693303108215,2.2684485742024014,125.04929338182721,390.201,43
fraudulent,40,,,,,,,,,,390.201,43
fraudulent,41,6.4038615226745605,604.1735690769572,,,0.09882477670907974,0.31076979637145996,0.3771788477897644,2.237397943224226,129.5568723678589,416.454,43
fraudulent,42,,,,,,,,,,416.454,43
fraudulent,43,6.132810592651367,460.72926492031917,,,0.15630792081356049,0.34972745180130005,0.41852113604545593,2.2358565756252835,126.29300798688617,416.454,43
fraudulent,44,4.365687847137451,78.70351731649603,0.3256228268146515,-1.767122745513916,0.4601542353630066,0.5865618586540222,0.6274039149284363,2.3308767676353455,121.025723866054,416.454,43
fraudulent,45,3.1135103702545166,22.499888873767624,0.0689549520611763,-1.2521774768829346,0.612206220626831,0.7272990942001343,0.7576759457588196,2.4317098557949066,121.32932894570487,416.454,43
fraudulent,46,3.83733868598938,46.4018201572319,0.030345506966114044,0.7238283157348633,0.5259428024291992,0.650403618812561,0.6859737634658813,2.4092922253268108,121.24863733564105,416.454,43
